M1_P1,M1_P2,M2_P1,M2_P2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.128289226582797511e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.019625470759840669e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.836009965763096385e-01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.816703570431287940e-01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.381766009870986744e-01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.465065445540539413e-01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.395807416888005914e-01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.377394726404515657e-01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.377394726404515657e-01,5.000000000000000000e-01,2.545965877318175363e-01,2.000000000000000000e+00
8.377394726404515657e-01,5.000000000000000000e-01,1.011188146226461304e-01,2.000000000000000000e+00
8.377394726404515657e-01,5.000000000000000000e-01,-2.983746378411059053e-02,2.000000000000000000e+00
8.377394726404515657e-01,5.000000000000000000e-01,-8.238343085209393069e-02,2.000000000000000000e+00
8.377394726404515657e-01,5.000000000000000000e-01,-1.651992041255704313e-01,2.000000000000000000e+00
8.377394726404515657e-01,5.000000000000000000e-01,-2.879589223855262281e-01,2.000000000000000000e+00
8.377394726404515657e-01,5.000000000000000000e-01,-4.388938829239346640e-01,2.000000000000000000e+00
8.377394726404515657e-01,5.000000000000000000e-01,-4.978844867672619356e-01,2.000000000000000000e+00
8.377394726404515657e-01,5.000000000000000000e-01,-6.115699841154871308e-01,2.000000000000000000e+00
8.377394726404515657e-01,5.000000000000000000e-01,-7.541890859396012115e-01,2.000000000000000000e+00
8.377394726404515657e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.012408376881174021e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
9.918061935414970165e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
9.844045479333211057e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.042150849918907607e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.117196522330079267e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.078057876987522867e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.150871123754028114e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.124180865508895399e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.128644207850368231e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.144905283827783560e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.147708174924437774e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.127242846636706597e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.206738593494865341e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.194163784724276089e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.182611096572423470e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.170113598540797772e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.207508721785756745e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.101014771064748432e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.106012202479046858e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.150823410185098483e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.100140109068645566e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.120608724543778800e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.069150821020842912e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.057176108541321380e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.029852936998654878e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.035828234039776641e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.006421029112428478e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
9.963843274718946486e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
9.872261971488374144e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
9.508390939548813092e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
9.316412639084209468e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
9.217520186608830768e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
8.965459104275462776e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
9.088578574297938584e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
8.433123922645479054e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
8.555575151784458043e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
8.421079012083177995e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
8.594363422348784143e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
